% Version 1.00
%
%freq[Hz],db:Trc1_S11,ang:Trc1_S11,
2.775000000000000E+009,-3.005192868931226E+000,7.176295619625279E+001,
2.780000000000000E+009,-2.959905766054958E+000,7.110369985471245E+001,
2.785000000000000E+009,-2.916991676668781E+000,7.030582320692865E+001,
2.790000000000000E+009,-2.869390695742399E+000,6.959263699267126E+001,
2.795000000000000E+009,-2.824102789468858E+000,6.898808716214846E+001,
2.800000000000000E+009,-2.780744442898187E+000,6.843517052434423E+001,
2.805000000000000E+009,-2.737813274233470E+000,6.772208586975945E+001,
2.810000000000000E+009,-2.690071957516336E+000,6.709462901751525E+001,
2.815000000000000E+009,-2.644740514695480E+000,6.651691181963261E+001,
2.820000000000000E+009,-2.600140011115559E+000,6.600703976035273E+001,
2.825000000000000E+009,-2.547876114717167E+000,6.533651739841332E+001,
2.830000000000000E+009,-2.500425967056548E+000,6.474140013479581E+001,
2.835000000000000E+009,-2.452033799411517E+000,6.417841974178940E+001,
2.840000000000000E+009,-2.407129676172654E+000,6.360910338414229E+001,
2.845000000000000E+009,-2.362266334201044E+000,6.289802765776983E+001,
2.850000000000000E+009,-2.322953161979812E+000,6.225743731802699E+001,
2.855000000000000E+009,-2.275701800641210E+000,6.165326741484110E+001,
2.860000000000000E+009,-2.234388401587492E+000,6.106183576595497E+001,
2.865000000000000E+009,-2.192292920705793E+000,6.039635153984464E+001,
2.870000000000000E+009,-2.152168868041779E+000,5.975650845080205E+001,
2.875000000000000E+009,-2.119883377728807E+000,5.915112361235797E+001,
2.880000000000000E+009,-2.085552332520555E+000,5.852653554070761E+001,
2.885000000000000E+009,-2.059031300252492E+000,5.783977256585112E+001,
2.890000000000000E+009,-2.032235592366638E+000,5.720234214246185E+001,
2.895000000000000E+009,-2.002207996482330E+000,5.659453364917675E+001,
2.900000000000000E+009,-1.970987596277642E+000,5.595647915509763E+001,
2.905000000000000E+009,-1.949322095174709E+000,5.524868278073335E+001,
2.910000000000000E+009,-1.929674414485036E+000,5.464050301661765E+001,
2.915000000000000E+009,-1.910195832380902E+000,5.405892110523227E+001,
2.920000000000000E+009,-1.890959155955374E+000,5.338287468415955E+001,
2.925000000000000E+009,-1.869989633245591E+000,5.273754058983354E+001,
2.930000000000000E+009,-1.853513561584697E+000,5.215161575522997E+001,
2.935000000000000E+009,-1.838251954363669E+000,5.156386963418429E+001,
2.940000000000000E+009,-1.824843086513577E+000,5.095789303788562E+001,
2.945000000000000E+009,-1.808011866470087E+000,5.038986818543304E+001,
2.950000000000000E+009,-1.794404278209097E+000,4.982754334747434E+001,
2.955000000000000E+009,-1.781381257142318E+000,4.927370296841919E+001,
2.960000000000000E+009,-1.772570596229792E+000,4.871134496581367E+001,
2.965000000000000E+009,-1.755099375806727E+000,4.820770378746339E+001,
2.970000000000000E+009,-1.743287678722924E+000,4.773174347097646E+001,
2.975000000000000E+009,-1.730377182832541E+000,4.722999494008590E+001,
2.980000000000000E+009,-1.721504794132908E+000,4.667722094510390E+001,
2.985000000000000E+009,-1.707697599294404E+000,4.620800607869946E+001,
2.990000000000000E+009,-1.698418037559516E+000,4.573353750811363E+001,
2.995000000000000E+009,-1.687818432306352E+000,4.525613556098327E+001,
3.000000000000000E+009,-1.683223071400413E+000,4.474728357578193E+001,
