Frequency in GHz,dB(sub-3\s3_3),Frequency in GHz,dB(v_smith-dipol-3mm\s1_1)
2.565,-4.56252,,
2.56667,-4.5365,,
2.56833,-4.51046,,
2.57,-4.4844,,
2.57167,-4.45833,,
2.57333,-4.43226,,
2.575,-4.4062,,
2.57667,-4.38017,,
2.57833,-4.35416,,
2.58,-4.32818,,
2.58167,-4.30225,,
2.58333,-4.27636,,
2.585,-4.25053,,
2.58667,-4.22476,,
2.58833,-4.19906,,
2.59,-4.17344,,
2.59167,-4.14789,,
2.59333,-4.12243,,
2.595,-4.09706,,
2.59667,-4.07179,,
2.59833,-4.04661,,
2.6,-4.02154,,
2.60167,-3.99658,,
2.60333,-3.97173,,
2.605,-3.947,,
2.60667,-3.92238,,
2.60833,-3.89789,,
2.61,-3.87353,,
2.61167,-3.84929,,
2.61333,-3.82519,,
2.615,-3.80121,,
2.61667,-3.77738,,
2.61833,-3.75369,,
2.62,-3.73013,,
2.62167,-3.70672,,
2.62333,-3.68346,,
2.625,-3.66034,,
2.62667,-3.63736,,
2.62833,-3.61454,,
2.63,-3.59187,,
2.63167,-3.56935,,
2.63333,-3.54699,,
2.635,-3.52477,,
2.63667,-3.50271,,
2.63833,-3.48081,,
2.64,-3.45907,,
2.64167,-3.43748,,
2.64333,-3.41604,,
2.645,-3.39477,,
2.64667,-3.37365,,
2.64833,-3.35269,,
2.65,-3.33189,,
2.65167,-3.31124,,
2.65333,-3.29075,,
2.655,-3.27043,,
2.65667,-3.25026,,
2.65833,-3.23024,,
2.66,-3.21039,,
2.66167,-3.19069,,
2.66333,-3.17115,,
2.665,-3.15176,,
2.66667,-3.13253,,
2.66833,-3.11346,,
2.67,-3.09454,,
2.67167,-3.07577,,
2.67333,-3.05716,,
2.675,-3.0387,,
2.67667,-3.02039,,
2.67833,-3.00224,,
2.68,-2.98424,,
2.68167,-2.96638,,
2.68333,-2.94868,,
2.685,-2.93112,,
2.68667,-2.91371,,
2.68833,-2.89645,,
2.69,-2.87933,,
2.69167,-2.86236,,
2.69333,-2.84554,,
2.695,-2.82885,,
2.69667,-2.81231,,
2.69833,-2.79591,,
2.7,-2.77965,,
2.70167,-2.76353,,
2.70333,-2.74755,,
2.705,-2.73171,,
2.70667,-2.716,,
2.70833,-2.70042,,
2.71,-2.68499,,
2.71167,-2.66968,,
2.71333,-2.65451,,
2.715,-2.63947,,
2.71667,-2.62455,,
2.71833,-2.60977,,
2.72,-2.59512,,
2.72167,-2.58059,,
2.72333,-2.56619,,
2.725,-2.55191,,
2.72667,-2.53776,,
2.72833,-2.52373,,
2.73,-2.50982,,
2.73167,-2.49603,,
2.73333,-2.48236,,
2.735,-2.46881,,
2.73667,-2.45538,,
2.73833,-2.44207,,
2.74,-2.42887,,
2.74167,-2.41578,,
2.74333,-2.40281,,
2.745,-2.38995,,
2.74667,-2.3772,,
2.74833,-2.36457,,
2.75,-2.35204,,
2.75167,-2.33962,,
2.75333,-2.3273,,
2.755,-2.3151,,
2.75667,-2.303,,
2.75833,-2.291,,
2.76,-2.27911,,
2.76167,-2.26732,,
2.76333,-2.25563,,
2.765,-2.24404,,
2.76667,-2.23255,,
2.76833,-2.22116,,
